TC ID,단위,화면,항목,유형,사전조건,절차,기대결과,우선,근거,결과,비고
U-DASH01-10,① 가입 및 로그인,DASH-01 대시보드,갱신 방식,정상,다른 창에서 상태 변경,DASH-01을 열어둔 채 대기,자동 갱신·폴링·토스트가 없다. 새로고침해야 반영된다,P1,2026-09-02(11),,
U-DASH01-11,① 가입 및 로그인,DASH-01 대시보드,기관 배지,정상,로그인 상태,우상단 기관 배지 클릭,로그아웃 메뉴가 열린다,P2,notation 규격,,
U-DASH02-01,① 가입 및 로그인,DASH-02 비밀번호 수정,기존 비밀번호,오류,DASH-02 진입,틀린 기존 비밀번호로 [다음],서버가 불일치를 알리고 저장하지 않는다,P0,DASH-02 항목1,,
U-DASH02-02,① 가입 및 로그인,DASH-02 비밀번호 수정,[다음],오류,상동,규칙 위반 새 비밀번호,[다음] 클릭 시 클라이언트가 일괄 검증해 필드마다 경고,P0,비밀번호 규칙 정본,,
U-DASH02-03,① 가입 및 로그인,DASH-02 비밀번호 수정,[취소],정상,입력 중,[취소] 클릭,항상 활성이며 DASH-01로 돌아간다,P2,버튼 4단계,,
U-DASH02-04,① 가입 및 로그인,DASH-02 비밀번호 수정,[다음],정상,정상 입력,[다음] 클릭,저장되고 완료 배너가 고정으로 남는다(자동 닫힘 없음),P0,2026-09-02(11),,
U-DASH03-01,① 가입 및 로그인,DASH-03 2차 인증 재설정,[재설정 메일 발송],정상,DASH-03 진입,버튼 클릭,발송 결과 배너가 보이고 재설정 메일이 도착한다,P0,DASH-03 항목2,,
U-DASH03-02,① 가입 및 로그인,DASH-03 2차 인증 재설정,'‹ 이전으로',정상,상동,링크 클릭,DASH-01로 돌아간다,P2,DASH-03 항목3,,
U-ADM03-01,① 가입 및 로그인,ADM-03 설정,기관명·이메일·customerNo·수탁 지갑 주소,오류,어드민 로그인,필수값을 비우고 [초대 발송],필드별 경고가 보이고 발송되지 않는다,P0,AC-01,,
U-ADM03-02,① 가입 및 로그인,ADM-03 설정,수탁 지갑 주소,경계,상동,형식이 틀린 주소 입력,형식 검증 경고. Ethereum 단일 체인 기준,P1,취급자산 전제,,
U-ADM03-03,① 가입 및 로그인,ADM-03 설정,[초대 발송],정상,상동,정상값 입력 후 클릭,기관·가입자가 생성되고 기관 상태 초기값이 활성. 초대 메일 발송,P0,AC-01,,
U-ADM03-04,① 가입 및 로그인,ADM-03 설정,[초대 발송],경계,같은 customerNo로 재발송,중복 등록 시도,기관당 가입자 1명 원칙에 따라 차단되거나 안내된다,P1,AC-01 기관당 1명,,
U-ADM03-05,① 가입 및 로그인,ADM-03 설정,[초대 재발송],정상,만료된 초대 보유,[초대 재발송] 클릭,새 초대 메일이 발송된다,P0,AC-02,,
U-ADM03-06,① 가입 및 로그인,ADM-03 설정,KYC 상태 칩,표기,기관 등록 완료,목록의 상태 칩 확인,커스터디 조회값(코드+조회 시각)이 표시 전용으로 보인다. [상태 변경] 버튼은 없다,P0,2026-09-07(21),,
U-ADM03-07,① 가입 및 로그인,ADM-03 설정,KYC 상태 칩,경계,커스터디 05 거래해지 상태,ADM-03 진입,"회색 칩 ""05 거래해지""",P1,AC-09,,
U-ADMAUTH-01,① 가입 및 로그인,어드민 로그인,어드민 인증,정상,관리자 계정,로그인,어드민 홈(ADM-02) 진입,P0,#987,,
U-EXC01-01,② 교환하기(나목),EXC-01 교환하기,보내는 자산 ▾,정상,로그인·기관 활성,드롭다운 클릭,목록이 펼쳐지고 ETH·USDC·USDT 3종이 보인다,P0,취급자산 3종,,
U-EXC01-02,② 교환하기(나목),EXC-01 교환하기,받는 자산 ▾,정상,보내는 자산 선택 완료,받는 자산 목록 확인,보내는 자산이 목록에서 제외된다,P0,2026-09-02 전제,,
U-EXC01-03,② 교환하기(나목),EXC-01 교환하기,드롭다운 공통,정상,목록 펼침,바깥 클릭 / ESC,목록이 닫힌다. 선택 시 칩이 갱신되고 닫힌다,P1,설명 형식 정본,,
U-EXC01-04,② 교환하기(나목),EXC-01 교환하기,보내는 수량,경계,자산 선택 완료,ETH 5자리·USDC 3자리 소수 입력,ETH 4자리·스테이블 2자리로 절사되어 처리된다,P1,표기 자릿수 규칙,,
U-EXC01-05,② 교환하기(나목),EXC-01 교환하기,표시 블록,정상,자산 선택 완료,화면 확인,교환 가능 풀·참고 비율·예상 받는 수량·스프레드·예상 가스비가 자산 선택 시 1회 조회되어 보인다,P0,2026-09-02(11),,
U-EXC01-06,② 교환하기(나목),EXC-01 교환하기,표시 블록,표기,상동,원화 표기 확인,고객 화면에 원화 환산액이 보이지 않는다,P1,2026-09-04(16)③,,
U-EXC01-07,② 교환하기(나목),EXC-01 교환하기,표시 블록,표기,상동,문구 확인,회계 계정명·시세 소스명이 보이지 않는다,P1,2026-09-02 전제,,
U-EXC01-08,② 교환하기(나목),EXC-01 교환하기,[거래 요청],경계,"한도 1,500,000원 상당 초과 수량 입력",버튼 상태 확인,비활성 또는 경고. 요청 시점 KRW 시세로 환산·원 단위 절사,P0,"정책값 1,500,000원",,
U-EXC01-09,② 교환하기(나목),EXC-01 교환하기,[거래 요청],경계,한도 경계값 바로 아래 수량,버튼 클릭,정상 통과한다,P0,"정책값 1,500,000원",,
U-EXC01-10,② 교환하기(나목),EXC-01 교환하기,[거래 요청],오류,잔고보다 큰 수량,버튼 상태 확인,경고가 보이고 요청이 생성되지 않는다,P0,EX-02,,
U-EXC01-11,② 교환하기(나목),EXC-01 교환하기,KYC 예외 배너,오류,기관 상태 02 활성 외,EXC-01 진입,배너가 보이고 [거래 요청]이 비활성. 조회는 가능,P0,AC-07,,
U-EXC01-12,② 교환하기(나목),EXC-01 교환하기,[거래 요청],오류,시세 소스 수신 중단,EXC-01 진입,상단 배너 + 버튼 비활성. 사유는 일반화 문구,P0,EX-02·OP-01,,
U-EXC01-13,② 교환하기(나목),EXC-01 교환하기,[거래 요청],오류,가용 재고 0,EXC-01 진입,버튼 비활성. 요청 레코드를 만들지 않는다,P0,EX-02·OP-02,,
U-EXC01-14,② 교환하기(나목),EXC-01 교환하기,[거래 요청],정상,정상 조건,버튼 클릭,EXC-02로 이동하고 상태가 요청됨이 된다,P0,EX-01,,
U-EXC02-01,② 교환하기(나목),EXC-02 비율 확인·수락,견적 산정,정상,EXC-01에서 요청,진입 직후 관찰,"""불러오는 중…"" 후 확정 비율이 표시된다",P0,EX-01·03,,
U-EXC02-02,② 교환하기(나목),EXC-02 비율 확인·수락,확정 비율 고시,표기,견적 산정 완료,수치 확인,확정 비율·받는 수량·스프레드·예상 가스비. 자릿수 규칙 준수,P0,EX-03,,
U-EXC02-03,② 교환하기(나목),EXC-02 비율 확인·수락,예상 가스비,표기,상동,가스비 행 확인,ETH 단일 표기. 받는 자산 환산액을 병기하지 않는다,P1,1795c04,,
U-EXC02-04,② 교환하기(나목),EXC-02 비율 확인·수락,받는 수량 행,표기,상동,행 구성 확인,'차감 후 받는 수량(예상)' 행이 없다,P1,1795c04,,
U-EXC02-05,② 교환하기(나목),EXC-02 비율 확인·수락,수락 기한 카운트다운,정상,상동,카운트다운 관찰,정책값 120초에서 시작해 감소한다,P0,EX-03 정책값 120초,,
U-EXC02-06,② 교환하기(나목),EXC-02 비율 확인·수락,[수락],정상,카운트다운 진행 중,[수락] 클릭,확인 다이얼로그 없이 즉시 확정되고 EXC-03으로 이동,P0,EX-06,,
U-EXC02-07,② 교환하기(나목),EXC-02 비율 확인·수락,[거절],정상,상동,[거절] 클릭,확인 다이얼로그 없이 EXC-04 「거절 (고객 요청)」,P0,EX-04,,
U-EXC02-08,② 교환하기(나목),EXC-02 비율 확인·수락,[수락],경계,카운트다운 종료(서버 판정),화면에 머문 채 관찰,"""만료됨 — 비율 무효"" 표시되고 [수락] 비활성",P0,EX-05,,
U-EXC02-09,② 교환하기(나목),EXC-02 비율 확인·수락,성격 고지,표기,상동,문구 확인,"""자체 시세 아님 · DSRV 상대방"" 고지가 보인다",P1,나목 경계 소명,,
U-EXC03-01,② 교환하기(나목),EXC-03 승인 진행,거래 상태 스텝바,정상,수락 완료,EXC-03 확인,"스텝 2 ""DSRV 거래 진행중""",P0,EX-06,,
U-EXC03-02,② 교환하기(나목),EXC-03 승인 진행,내부 단계 노출,표기,관리자가 보류 처리,고객 화면 재확인,보류 라벨·사유·담당자가 보이지 않고 진행 중만 유지,P0,EX-08,,
U-EXC03-03,② 교환하기(나목),EXC-03 승인 진행,[확인],정상,상동,[확인] 클릭,DASH-01로 이동,P2,EXC-03 항목4,,
U-EXC04-01,② 교환하기(나목),EXC-04 내역·완료,완료 변형,정상,출고 집행 완료,EXC-04 확인,스텝 3 체크·완료 일시·발생 가스비·실수령 수량이 보인다,P0,EX-12,,
U-EXC04-02,② 교환하기(나목),EXC-04 내역·완료,거절(DSRV 심사) 변형,표기,관리자 거절,EXC-04 확인,일반화 사유 배너만 보이고 구체 사유가 없다,P0,EX-10 STR 누설 금지,,
U-EXC04-03,② 교환하기(나목),EXC-04 내역·완료,만료 변형,정상,기한 만료,EXC-04 재진입,「만료」로 보인다,P1,EX-05,,
U-EXC04-04,② 교환하기(나목),EXC-04 내역·완료,받은 수량,표기,완료 건,수량 확인,스토리보드 예시 정합 확인(EXC-02 확정 수량과 일치),P1,2026-09-03 내부 불일치 1건,,
U-ADM02-01,② 교환하기(나목),ADM-02 ① 거래 승인,목록 행 확장,정상,T1 행 존재,행 클릭,확장되고 동시에 1개만 열린다,P1,.mk-row 규격,,
U-ADM02-02,② 교환하기(나목),ADM-02 ① 거래 승인,[승인] T1,정상,승인 대기 행,[승인] 클릭,① 행 제거·종결. ② 집행에 입고·출고 2행 생성,P0,EX-09,,
U-ADM02-03,② 교환하기(나목),ADM-02 ① 거래 승인,[보류] T1,오류,상동,사유 없이 [보류],사유가 필수라 진행되지 않는다,P0,EX-08,,
U-ADM02-04,② 교환하기(나목),ADM-02 ① 거래 승인,[보류] T1,정상,상동,사유 입력 후 [보류],HOLD로 유지된다. 만료 시한이 없고 승인·거절로만 닫힌다,P0,EX-08,,
U-ADM02-05,② 교환하기(나목),ADM-02 ① 거래 승인,[거절] T1,정상,상동,사유 입력 후 [거절],종결되고 되돌릴 수 없다,P0,EX-10,,
U-ADM02-06,② 교환하기(나목),ADM-02 ① 거래 승인,에스컬레이션 표시,정상,이상거래 룰 적중 연계 건,① 목록 확인,"해당 행이 에스컬레이션으로 표시되고 ""③ 1건""이 보인다",P1,AM-01,,
U-ADM02-07,② 교환하기(나목),ADM-02 목업,패널 고정,표기,창 폭 2000px 이상,스크롤,ADM-02·03 목업 패널은 따라오지 않고 제자리 고정,P2,58a68ab,,
U-ADM02-08,② 교환하기(나목),ADM-02 ② 집행 대기,행 확장,정상,② 행 존재,행 클릭,집행 명세가 그대로 펼쳐진다,P0,§2 ② 집행 대기 표,,
U-ADM02-09,② 교환하기(나목),ADM-02 ② 집행 대기,[명세 Excel],정상,상동,버튼 클릭,1건 1파일로 내려받고 명세 해시·승인자 ID가 화면과 같은 값,P0,§2,,
U-ADM02-10,② 교환하기(나목),ADM-02 ② 집행 대기,txhash 입력창,정상,상동,txhash 입력,입력값이 유지되고 대사 검증 대상이 된다,P0,EX-11,,
U-ADM02-11,② 교환하기(나목),ADM-02 ② 집행 대기,[완료],경계,명세와 일치하는 txhash,대사 확인,발신 지갑·수신 주소·자산·수량 4항목 일치 시에만 [완료]가 활성,P0,EX-11,,
U-ADM02-12,② 교환하기(나목),ADM-02 ② 집행 대기,[완료],오류,명세와 다른 txhash,[완료] 시도,완료가 차단되고 txhash 필드에 경고. 행이 정지된다,P0,EX-13,,
U-ADM02-13,② 교환하기(나목),ADM-02 ② 집행 대기,출고 행,경계,입고 미완료,출고 행 확인,비활성이며 입고 완료 후에만 활성,P0,EX-09,,
U-ADM02-14,② 교환하기(나목),ADM-02 ② 집행 대기,[완료],경계,명세 미다운로드,[완료] 시도,명세 다운로드 여부는 완료를 막지 않는다,P1,§2,,
U-ADM02-15,② 교환하기(나목),ADM-02 ③ AML,[검토],정상,T5 행 존재,[검토] 클릭,검토중으로 바뀌고 행이 유지된다,P1,AM-02,,
U-ADM02-16,② 교환하기(나목),ADM-02 ③ AML,[STR 검토],정상,검토중 행,사유 입력 후 클릭,행 제거·종결(STR 이관),P1,AM-03,,
U-ADM02-17,② 교환하기(나목),ADM-02 ③ AML,[무혐의 종결],정상,상동,사유 입력 후 클릭,행 제거·종결. 연계 ① 행의 에스컬레이션 표시가 해제된다,P1,AM-04,,
U-ADM02-18,② 교환하기(나목),ADM-02 ④ 운영 알림,유형 노출,표기,각 알림 발생,④ 목록 확인,N1 시세중단·N2 재고부족·N3 대사불일치·X3 3면대사·T8 계정잠금 5종,P1,§2,,
U-ADM02-19,② 교환하기(나목),ADM-02 ④ 운영 알림,[확인]·[조치 완료],정상,알림 행 존재,[확인] → [조치 완료 ▾],결과를 선택해 종결한다,P1,§2,,
U-ADM02-20,② 교환하기(나목),ADM-02 홈,건수 집계,표기,행 다수 존재,홈 확인,어느 화면에도 건수 집계·KPI 카드가 없다,P2,2026-09-04 재확인,,
U-ADM02-21,② 교환하기(나목),ADM-02 데이터 다운로드,CSV 6종,정상,데이터 존재,각 CSV 다운로드,6종이 전체 기간 1파일로 동기 생성된다. 어드민 CSV는 원화 표기 유지,P1,2026-09-04(16)③,,
U-ADM03-08,② 교환하기(나목),ADM-03 설정,고정 스프레드 3개,정상,어드민 로그인,페어별 값 입력 후 [변경 저장],"저장되고 ""정책값이 저장되었습니다 (vN) — 신규 요청부터 적용""",P0,ADM-03 항목2,,
U-ADM03-09,② 교환하기(나목),ADM-03 설정,견적 유효시간,정상,상동,값 변경 후 저장,저장되고 신규 요청부터 적용된다,P0,ADM-03 항목3,,
U-ADM03-10,② 교환하기(나목),ADM-03 설정,건별 한도,정상,상동,원 단위 값 입력 후 저장,저장값이 나목·마목 공통으로 적용된다,P0,"정책값 P·1,500,000원",,
U-ADM03-11,② 교환하기(나목),ADM-03 설정,취급자산 상태 ▾ × 3,정상,상동,자산 상태 변경,ETH·USDC·USDT 3종의 상태가 개별 반영된다,P1,ADM-03 항목1,,
U-ADM03-12,② 교환하기(나목),ADM-03 설정,나목 교환 자산풀,표기,상동,풀 확인,교환 가능 수량이 표시 전용으로 보인다,P1,ADM-03 항목9,,
U-BRK01-01,③ 교환게시판(마목),BRK-01 교환 게시판,컬럼 헤더·상태 칩,표기,게시 다수 존재,목록 확인,컬럼·칩 규격이 notation과 일치,P1,BRK-01 항목1,,
U-BRK01-02,③ 교환게시판(마목),BRK-01 교환 게시판,타사 게시·게재중 행,정상,타 기관 게재중 게시 존재,행 클릭,BRK-03 신청하기로 이동,P0,PB-01,,
U-BRK01-03,③ 교환게시판(마목),BRK-01 교환 게시판,타사 게시·협의중 행,경계,타 기관 협의중 게시,행 클릭,클릭은 되고 상세가 열리되 [신청]이 비활성,P0,notation 개정,,
U-BRK01-04,③ 교환게시판(마목),BRK-01 교환 게시판,내 게시 행,정상,내 게시 존재,행 확인 후 클릭,"""내 게시"" 표시가 있고 BRK-06으로 이동",P0,PB-01,,
U-BRK01-05,③ 교환게시판(마목),BRK-01 교환 게시판,내 신청 중인 게시 행,정상,내 신청 존재,행 클릭,BRK-07로 이동,P0,PB-03,,
U-BRK01-06,③ 교환게시판(마목),BRK-01 교환 게시판,목록 필터,경계,회수·만료·중지된 게시 존재,목록 확인,해당 게시가 목록에서 제외된다,P0,PB-06·07·08,,
U-BRK01-07,③ 교환게시판(마목),BRK-01 교환 게시판,[+ 거래의향 등록],정상,기관 활성,버튼 클릭,BRK-02로 이동,P0,BRK-01 항목7,,
U-BRK02-01,③ 교환게시판(마목),BRK-02 거래의향 등록,보내는/받는 자산,정상,BRK-02 진입,보내는 자산 먼저 선택,받는 자산 목록에서 해당 자산이 제외된다,P0,2026-09-02 전제,,
U-BRK02-02,③ 교환게시판(마목),BRK-02 거래의향 등록,보유·처분 가능 잔고,표기,자산 선택 완료,표시 확인,보유와 처분 가능 잔고가 구분되어 보인다,P0,BRK-02 항목4,,
U-BRK02-03,③ 교환게시판(마목),BRK-02 거래의향 등록,환산 비율·현 시세·편차,정상,양측 수량 입력,계산값 확인,ETH 페어 비율은 방향 무관 {스테이블}/ETH 2자리,P1,표기 규칙,,
U-BRK02-04,③ 교환게시판(마목),BRK-02 거래의향 등록,편차 경고,오류,시세 대비 편차 큰 수량 입력,임계 2.0%를 넘는 편차가 나오는 수량을 넣고 [게시],등록이 거부된다. 경고만 띄우고 통과시키지 않는다,P1,2026-09-10 결정 B-4 · PostingQuoteInfo.deviationThr,,
U-BRK02-05,③ 교환게시판(마목),BRK-02 거래의향 등록,게시 유효기간,표기,상동,표시 확인,정책값 30일이 보인다,P1,PB-01·PB-07,,
U-BRK02-06,③ 교환게시판(마목),BRK-02 거래의향 등록,[게시],경계,한도 초과 수량,버튼 상태 확인,비활성 또는 인라인 경고,P0,"PB-02 한도 1,500,000원",,
U-BRK02-07,③ 교환게시판(마목),BRK-02 거래의향 등록,[게시],오류,처분 가능분 부족,버튼 상태 확인,비활성. 게시를 만들지 않는다,P0,PB-02,,
U-BRK02-08,③ 교환게시판(마목),BRK-02 거래의향 등록,[게시],오류,시세 소스 중단,BRK-02 진입,인라인 경고 또는 상단 배너 + 버튼 비활성,P0,PB-02·OP-01,,
