STEP,런,구간,계정·역할,화면,조작 (그대로 따라 하기),확인 (이게 안 되면 결함),커버 TC,결과,비고
021,S 준비,0. 지원 도구,QA → 개발팀,슬랙,"[R-03] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 준비] 테스트 기간 내내 쓸 수 있도록, 집행 명세와 일치하는 txhash와 일부러 어긋나게 만든 txhash를 둘 다 생성할 수 있는 수단을 주세요. 대사 4항목(발신 지갑·수신 주소·자산·수량) 검증에 씁니다.」","완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-03,,
022,S 준비,4. 잔고 시딩,QA (요청 반영 후),-,DASH-01과 ADM-03 자산풀에서 시딩 결과를 확인한다,DASH-01과 ADM-03 자산풀에 반영된다,U-ADM03-12,,
023,A 가입·로그인,A1 정상 활성화,기관 A,ONB-00,초대 메일을 연다. 발신·수신·제목·본문·유효기간 안내·푸터를 순서대로 읽는다,기획 문구와 일치. 유효기간 72시간·1회용 안내가 있고 공지사항 링크는 없다,U-ONB00-01·03·04,,
024,A 가입·로그인,A1 정상 활성화,기관 A,ONB-00,[계정 활성화 · 비밀번호 설정] 클릭,ONB-01이 열린다,U-ONB00-02,,
025,A 가입·로그인,A1 정상 활성화,기관 A,ONB-01,비밀번호 칸에 한글·공백·허용 외 특수문자를 쳐본다. 이어서 21자를 쳐본다,허용 외 문자는 안 들어가고 20자에서 멈춘다,U-ONB01-01·02,,
026,A 가입·로그인,A1 정상 활성화,기관 A,ONB-01,규칙 위반 값을 천천히 타이핑하며 경고가 뜨는지 본다,입력 중에는 판정하지 않는다,U-ONB01-03,,
027,A 가입·로그인,A1 정상 활성화,기관 A,ONB-01,두 칸을 비우고 [다음],"""값을 입력해 주세요"". 서버 요청 없음",U-ONB01-04,,
028,A 가입·로그인,A1 정상 활성화,기관 A,ONB-01,7자만 넣고 [다음]. 이어서 영문+숫자 2종만 넣고 [다음]. 이어서 이메일 @ 앞부분과 같은 값으로 [다음]. 이어서 같은 문자 반복으로 [다음],매번 위반한 규칙이 문구로 보이고 입력값은 유지되며 화면에 머문다,U-ONB01-05~08,,
029,A 가입·로그인,A1 정상 활성화,기관 A,ONB-01,두 칸에 서로 다른 정상값을 넣고 [다음],"""비밀번호가 일치하지 않습니다"". 확인 칸만 비워지고 첫 칸은 남는다",U-ONB01-09,,
030,A 가입·로그인,A1 정상 활성화,기관 A,ONB-01,첫 칸을 규칙 위반으로 고치고 확인 칸도 다르게 둔 뒤 [다음],문제가 있는 칸마다 경고가 동시에 보인다,U-ONB01-10,,
031,A 가입·로그인,A1 정상 활성화,기관 A,ONB-01,정상값으로 맞추고 [다음]을 연타한다,처리 중에만 비활성이 되어 중복 요청이 가지 않고 ONB-02로 넘어간다,U-ONB01-11·12,,
032,A 가입·로그인,A1 정상 활성화,QA,API,규칙 위반 값을 비밀번호 설정 API로 직접 보낸다,서버는 규칙을 다시 검증하지 않고 저장한다(설계대로). 서버가 거부하면 결함이다,U-ONB01-13,,
033,A 가입·로그인,A1 정상 활성화,기관 A,ONB-02,QR을 스캔한다. 별도 앱에서 설정 키를 수동 입력해 같은 계정이 생기는지도 본다,두 방법 모두 같은 계정으로 등록된다,U-ONB02-01,,
034,A 가입·로그인,A1 정상 활성화,기관 A,ONB-02,6자리를 한 번에 붙여넣어 본다. 이어서 틀린 코드를 손으로 넣는다,붙여넣기 분배는 없다. 틀린 코드는 경고 후 재입력 가능,U-ONB02-03·04,,
035,A 가입·로그인,A1 정상 활성화,기관 A,ONB-02,틀린 코드를 연속 5회 넣는다,시크릿이 재생성되어 QR·설정 키가 바뀌고 재등록 안내 칩이 뜬다,U-ONB02-06,,
036,A 가입·로그인,A1 정상 활성화,기관 A,ONB-02,정확한 6자리를 넣고 손을 뗀다,버튼 없이 자동 검증되어 ONB-03으로 넘어간다,U-ONB02-02·05,,
037,A 가입·로그인,A1 정상 활성화,기관 A,ONB-03,복구 코드와 보관 경고를 확인하고 [복사하기]를 누른다. 복구 코드를 시트에 적어둔다,단일 복구 코드가 보이고 클립보드에 담긴다. [다운로드] 버튼은 없다,U-ONB03-01·02,,
038,A 가입·로그인,A1 정상 활성화,기관 A,ONB-03,[확인] 클릭,활성화 완료. AUTH-01로 이동,U-ONB03-03,,
039,A 가입·로그인,A2 로그인,기관 A,AUTH-01,빈칸으로 [로그인]. 이어서 틀린 비밀번호로 [로그인],빈칸 경고. 틀린 값은 실패 칩과 남은 횟수가 보인다,U-AUTH01-01·02,,
040,A 가입·로그인,A2 로그인,기관 A,AUTH-01,푸터를 확인한다,저작권·개인정보처리방침·이용약관 2링크만. 공지사항 없음,U-AUTH01-07,,
041,A 가입·로그인,A2 로그인,기관 A,AUTH-01,정확한 값으로 [로그인],AUTH-02로 이동,U-AUTH01-03,,
042,A 가입·로그인,A2 로그인,기관 A,AUTH-02,틀린 6자리를 넣는다. 이어서 정확한 코드를 넣는다,틀린 값은 실패 처리. 정확한 값은 자동 검증되어 DASH-01 진입,U-AUTH02-01·02 · I-A-01,,
043,A 가입·로그인,A2 로그인,기관 A,AUTH-02,다른 브라우저에서 같은 계정으로 다시 2차 인증까지 통과한다. 먼저 열어둔 창을 새로고침한다,계정당 1세션이라 먼저 열어둔 세션이 끊기고 AUTH-01로 간다,U-AUTH02-04,,
044,A 가입·로그인,A2 로그인,기관 A,DASH-01,우상단 기관 배지를 클릭한다,로그아웃 메뉴가 열린다,U-DASH01-11,,
045,A 가입·로그인,A2 로그인,기관 A,DASH-01,지갑 잔고와 주소를 본다,ETH 4자리 · USDC/USDT 2자리 절사. 회계 계정명은 보이지 않는다,U-DASH01-03·04,,
046,A 가입·로그인,A3 링크 재사용,기관 A,ONB-04,A1에서 쓴 초대 링크를 다시 클릭한다,1회용이므로 ONB-04가 열리고 재활성화되지 않는다,U-ONB04-02 · I-A-03,,
047,A 가입·로그인,A4 링크 만료,QA → 개발팀,슬랙,"[R-04] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 E의 초대를 만료 상태로 바꿔 주세요. 대상 INVITE(기관 E, 미사용 토큰), 만료시각을 현재 이전으로 + status를 만료로. 초대 72시간 만료(AC-02) 확인용입니다.」","완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-04,,
048,A 가입·로그인,A4 링크 만료,기관 E,ONB-04,만료된 기관 E 초대 링크를 클릭한다,"만료 배너 ""관리자에게 재발송을 요청하세요""",U-ONB04-01 · I-A-02,,
049,A 가입·로그인,A4 링크 만료,관리자,ADM-03,기관 E 행에서 [초대 재발송],새 초대 메일이 온다,U-ADM03-05 · I-A-02,,
050,A 가입·로그인,A4 링크 만료,기관 E,ONB-01~03,새 링크로 활성화까지 마친다,정상 활성화된다. 기관 E는 이후 예비 계정으로 남긴다,I-A-02,,
051,A 가입·로그인,A5 중도 이탈,기관 B,ONB-01,기관 B 링크로 들어가 비밀번호만 설정하고 브라우저를 닫는다,ONB-02까지 갔다가 종료,전제,,
052,A 가입·로그인,A5 중도 이탈,기관 B,ONB-02,같은 초대 링크를 다시 클릭한다,처음이 아니라 진행 중이던 ONB-02로 재개된다. 비밀번호를 다시 설정하는 동선은 없다,I-A-04,,
053,A 가입·로그인,A5 중도 이탈,기관 B,ONB-02~03,이어서 2FA 연결과 복구 코드 저장까지 마친다. 복구 코드를 시트에 적는다,기관 B 활성화 완료,전제,,
054,A 가입·로그인,A6 기관 C,기관 C,ONB-01~03,기관 C도 같은 방식으로 활성화한다. 복구 코드를 적어둔다,기관 C 활성화 완료,전제,,
055,A 가입·로그인,A7 복구 코드,기관 C,AUTH-02,로그인 1단계를 통과한 뒤 [복구 코드로 인증] 클릭,AUTH-03으로 이동. 외곽선 버튼,U-AUTH02-03,,
056,A 가입·로그인,A7 복구 코드,기관 C,AUTH-03,틀린 복구 코드로 [인증]. 이어서 정확한 값으로 [인증],클릭 시 검증한다(자동 아님). 성공하면 세션 생성 후 DASH-01,U-AUTH03-01~03 · I-A-07,,
057,A 가입·로그인,A7 복구 코드,기관 C,DASH-01,상단 배너를 확인한다,2차 인증 재설정 권고 배너가 보인다,U-DASH01-06,,
058,A 가입·로그인,A7 복구 코드,기관 C,AUTH-03,다른 브라우저에서 복구 코드로 다시 인증해 본다,앞 세션이 끊긴다. 코드는 이미 폐기됐으므로 재사용도 막힌다. 인증 앱 등록은 유지,U-AUTH03-05,,
059,A 가입·로그인,A7 복구 코드,기관 C,AUTH-03,AUTH-03으로 다시 들어가 '‹ 이전으로'를 누른다,AUTH-02로 돌아간다,U-AUTH03-04,,
060,A 가입·로그인,A9 계정 설정,기관 D,DASH-03,"쿨다운 경과 후 재발송하고, 먼저 받은 링크를 클릭한다",이전 링크가 무효화되어 최신 1개만 유효하다,U-DASH03-04,,
061,A 가입·로그인,A8 잠금·해제,기관 D,AUTH-01,"기관 D를 활성화한 뒤, 비밀번호 2회 · 2FA 2회 · 복구 코드 1회 순서로 일부러 틀린다",5회째에 잠금 배너가 뜨고 로그인이 막힌다. 세 종류가 합산된다,U-AUTH01-04·06 · I-A-05,,
062,A 가입·로그인,A8 잠금·해제,기관 D,AUTH-01,잠금 배너 안의 문의 이메일 링크를 눌러본다,링크가 동작한다,U-AUTH01-05,,
063,A 가입·로그인,A8 잠금·해제,관리자,ADM-02 ④,④ 운영 알림에 생긴 T8 행에서 [확인] → [조치 완료 · 해제],행이 종결되고 관리자 ID·시각이 확인 기록으로 남는다,I-A-05,,
064,A 가입·로그인,A8 잠금·해제,기관 D,AUTH-01,기존 비밀번호·OTP로 다시 로그인한다,로그인이 재개되고 실패 카운트가 0이다,I-A-05,,
065,A 가입·로그인,A9 계정 설정,기관 D,DASH-01,'비밀번호 수정' 카드와 '2차 인증 재설정' 카드를 차례로 눌러 이동만 확인하고 돌아온다,각각 DASH-02 · DASH-03 독립 페이지로 이동,U-DASH01-07·08,,
066,A 가입·로그인,A9 계정 설정,기관 D,DASH-02,틀린 기존 비밀번호로 [다음]. 이어서 규칙 위반 새 비밀번호로 [다음]. 이어서 [취소],불일치 알림 → 필드별 경고 → [취소]는 항상 활성이며 DASH-01로 복귀,U-DASH02-01~03,,
067,A 가입·로그인,A9 계정 설정,기관 D,DASH-02,정상값으로 비밀번호를 변경한다. 새 비밀번호를 시트에 적는다,완료 배너가 고정으로 남는다(자동 닫힘 없음),U-DASH02-04,,
068,A 가입·로그인,A9 계정 설정,기관 D,DASH-02,직전에 쓰던 비밀번호로 다시 변경을 시도한다,재사용 금지(직전 1회)로 거부된다,U-DASH02-05,,
069,A 가입·로그인,A9 계정 설정,기관 D,DASH-02 · AUTH-01,"같은 계정으로 두 브라우저에 로그인해 둔 뒤, 한쪽에서 비밀번호를 바꾸고 다른 브라우저를 새로고침한다",다른 브라우저 세션이 끊겨 AUTH-01로 이동한다,I-A-14,,
070,A 가입·로그인,A9 계정 설정,기관 D,AUTH-01,로그아웃 후 옛 비밀번호 → 새 비밀번호 순으로 로그인한다,옛 값은 거부되고 새 값으로 로그인된다,I-A-11,,
071,A 가입·로그인,A9 계정 설정,기관 D,DASH-02,다른 기기에도 로그인해 두고 실패 카운터를 1 이상 만든 뒤 비밀번호를 한 번 더 바꾼다,타 기기 세션이 전부 끊기고(현재 세션 유지) 실패 카운터가 0이 되며 감사기록에 남는다,U-DASH02-06,,
072,A 가입·로그인,A9 계정 설정,기관 D,DASH-03,"[재설정 메일 발송]을 누르고, 이어서 '‹ 이전으로'를 누른다",발송 결과 배너가 보이고 메일이 온다. 이전으로는 DASH-01 복귀,U-DASH03-01·02,,
073,A 가입·로그인,A9 계정 설정,기관 D,DASH-03,쿨다운이 끝나기 전에 [재설정 메일 발송]을 다시 누른다,cooldownUntil 까지 버튼이 비활성이고 남은 시간이 보인다,U-DASH03-03,,
074,A 가입·로그인,A9 계정 설정,기관 D,AUTH-02,메일 링크로 2FA를 재설정하고 새 2FA로 로그인한다,새 코드로 로그인된다,I-A-12,,
075,A 가입·로그인,A9-1 세션 만료,기관 D,전 화면 · AUTH-01,로그인한 채로 15분(유휴 900초) 동안 아무것도 건드리지 않다가 화면을 조작한다,"AUTH-01로 이동하고 ""세션이 만료되었습니다"" 배너가 보인다. 작업 중이던 입력은 복원되지 않는다",U-AUTH01-08 · I-A-15,,
076,A 가입·로그인,A9-1 세션 만료,QA → 개발팀,슬랙,[R-05] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 제 세션의 절대 만료 시각을 현재 이전으로 바꿔 주세요. 대상 member_session.absolute_expires_at. 8시간을 기다릴 수 없어서입니다. 슬라이딩하지 않는 것은 제가 조작하면서 값이 그대로인지로 확인하겠습니다. B-6 세션 만료 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-05,,
077,A 가입·로그인,A9-1 세션 만료,기관 D,전 화면 · AUTH-01,재로그인 후 계속 조작하면서 absoluteExpiresAt 이 뒤로 밀리는지 본다. 이어서 강제 경과된 세션으로 화면을 조작한다,계속 써도 만료 시각이 밀리지 않는다(슬라이딩 없음). 도달하면 AUTH-01로 이동,I-A-16,,
078,A 가입·로그인,A10 기관 게이팅,QA → 개발팀,슬랙,[R-06] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 C의 커스터디 customerStatusCd를 04 거래중지로 바꿔 주세요. 제가 로그인하기 전까지는 이 시스템 쪽 관문을 아무것도 태우지 말아 주세요. 상태 변경 웹훅이 없다는 것(AC-07)을 확인하려는 것입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-06,,
079,A 가입·로그인,A10 기관 게이팅,QA (요청 반영 후),-,기관 C 화면을 아무것도 건드리지 않고 그대로 둔 채 잠시 기다린다,즉시 반영되지 않는다,I-A-10,,
080,A 가입·로그인,A10 기관 게이팅,기관 C,DASH-01,기관 C로 새로 로그인한다(T1 관문),이 시점에 반영된다. KYC 예외 배너가 보인다. 상태 변경 웹훅이 없음을 확인,U-DASH01-05 · I-A-08·10,,
081,A 가입·로그인,A10 기관 게이팅,기관 C,EXC-01 · BRK-02 · BRK-03,EXC-01 · BRK-02 · BRK-01 세 화면에 각각 들어가 본다,배너가 보이고 거래 버튼이 비활성. 조회는 가능하고 상태별 문구 차등은 없다. BRK-01 목록도 열린다,U-EXC01-11 · U-BRK02-09 · I-A-08,,
082,A 가입·로그인,A10 기관 게이팅,QA → 개발팀,슬랙,[R-07] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 C를 05 거래해지로 바꿔 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-07,,
083,A 가입·로그인,A10 기관 게이팅,QA (요청 반영 후),-,관리자가 ADM-03에 들어간다,"회색 칩 ""05 거래해지""",U-ADM03-07 · I-A-09,,
084,A 가입·로그인,A10 기관 게이팅,QA → 개발팀,슬랙,[R-08] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 C를 02 활성으로 되돌려 주세요. 이후 마목 신청자로 계속 씁니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-08,,
085,A 가입·로그인,A10 기관 게이팅,QA (요청 반영 후),-,기관 C로 재로그인한다,배너가 사라지고 거래 버튼이 활성된다. 이후 마목 신청자로 쓴다,I-A-08,,
086,A 가입·로그인,A10 기관 게이팅,QA → 개발팀,슬랙,[R-09] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 C를 04 거래중지로 다시 바꿔 주세요. 이번에는 제가 로그인한 상태를 유지한 채로 바꿔 주셔야 합니다. 로그인 관문이 아니라 거래 요청·수락 관문에서 잡히는지 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-09,,
087,A 가입·로그인,A10 기관 게이팅,기관 C,EXC-01 · BRK-02 · BRK-03 · BRK-04,로그아웃하지 않은 채 거래 요청(T2)과 수락(T3)을 각각 시도한다,로그인 관문을 이미 지났어도 요청·수락 관문에서 각각 잡혀 차단된다,I-A-17,,
088,A 가입·로그인,A10 기관 게이팅,QA → 개발팀,슬랙,[R-10] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 C를 02 활성으로 다시 되돌려 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-10,,
089,A 가입·로그인,A11 갱신 방식,기관 A,DASH-01,DASH-01을 열어둔 채 다른 창에서 상태를 바꾸고 원래 창을 관찰한다,자동 갱신·폴링·토스트가 없다. 새로고침해야 반영된다,U-DASH01-10 · I-X-01,,
090,B 나목 교환,B0 요청 화면,기관 A,EXC-01,보내는 자산 드롭다운을 연다. 바깥을 클릭하고 다시 열어 ESC를 누른다,ETH·USDC·USDT 3종이 보이고 바깥 클릭·ESC로 닫힌다,U-EXC01-01·03,,
091,B 나목 교환,B0 요청 화면,기관 A,EXC-01,받는 자산과 수량까지 넣은 뒤 보내는 자산을 다른 것으로 바꾼다,받는 자산과 수량이 초기화된다,U-EXC01-16,,
092,B 나목 교환,B0 요청 화면,기관 A,EXC-01,보내는 자산을 USDC로 고른 뒤 받는 자산 목록을 연다,USDC가 목록에서 빠져 있다,U-EXC01-02,,
093,B 나목 교환,B0 요청 화면,기관 A,EXC-01,수량 칸에 USDC 소수 3자리를 입력한다,2자리로 절사되어 처리된다,U-EXC01-04,,
094,B 나목 교환,B0 요청 화면,기관 A,EXC-01,표시 블록 전체를 읽는다,교환 가능 풀·참고 비율·예상 받는 수량·스프레드·예상 가스비가 자산 선택 시 1회 조회되어 보인다,U-EXC01-05,,
095,B 나목 교환,B0 요청 화면,기관 A,EXC-01,ETH→USDC 와 USDC→ETH 양방향으로 각각 수량을 넣고 예상 받는 수량을 검산한다,방향에 따라 곱하기와 나누기가 갈린다. USDC→ETH 에서 0.0003 같은 값이 4자리로 뭉개지지 않는다,U-EXC01-15,,
096,B 나목 교환,B0 요청 화면,기관 A,EXC-01,원화 표기와 시세 소스명·회계 계정명이 있는지 훑는다,셋 다 보이지 않는다,U-EXC01-06·07,,
097,B 나목 교환,B0 요청 화면,기관 A,EXC-01,"한도 1,500,000원 상당을 넘는 수량을 넣는다. 이어서 잔고보다 큰 수량을 넣는다",각각 비활성 또는 경고. 요청이 생성되지 않는다,U-EXC01-08·10,,
098,B 나목 교환,B0 요청 화면,기관 A,EXC-01,한도 경계 바로 아래 수량으로 바꾼다,통과한다. 요청 시점 KRW 시세 환산·원 단위 절사,U-EXC01-09 · I-B-16,,
099,B 나목 교환,B1 정상 완주,기관 A,EXC-01,[거래 요청] 클릭. 요청번호를 시트에 적는다 (= 건 #1),EXC-02로 이동하고 상태가 요청됨,U-EXC01-14 · I-B-01,,
100,B 나목 교환,B1 정상 완주,기관 A,EXC-02,진입 직후 화면을 관찰한다,"""불러오는 중…"" 후 확정 비율이 표시된다",U-EXC02-01,,
101,B 나목 교환,B1 정상 완주,기관 A,EXC-02,확정 비율·받는 수량·스프레드·예상 가스비·카운트다운·고지 문구를 전부 읽는다,"자릿수 규칙 준수. 가스비는 ETH 단일 표기. ""차감 후 받는 수량"" 행 없음. 120초 카운트다운. ""자체 시세 아님 · DSRV 상대방"" 고지",U-EXC02-02~05·09,,
102,B 나목 교환,B1 정상 완주,기관 A,EXC-02,ETH 페어 건을 따로 만들어 확정 비율과 받는 수량을 양방향으로 검산한다,계산식이 방향에 맞고 자릿수 규칙(ETH 4 · 스테이블 2)이 지켜진다,U-EXC02-11,,
103,B 나목 교환,B1 정상 완주,기관 A,EXC-02,[수락] 클릭,확인 다이얼로그 없이 즉시 확정되고 EXC-03으로 이동,U-EXC02-06 · I-B-01,,
104,B 나목 교환,B1 정상 완주,기관 A,EXC-03,스텝바와 안내를 확인한다,"스텝 2 ""DSRV 거래 진행중"". 내부 단계·담당자가 보이지 않는다",U-EXC03-01·02,,
105,B 나목 교환,B1 정상 완주,기관 A,EXC-03,[확인] 클릭,DASH-01로 이동한다,U-EXC03-03,,
106,B 나목 교환,B1 정상 완주,관리자,ADM-02 ①,① 목록에서 건 #1 행을 클릭해 펼친다. 다른 행도 눌러본다,확장되고 동시에 1개만 열린다,U-ADM02-01,,
107,B 나목 교환,B1 정상 완주,관리자,ADM-02 ①,확장 패널의 자동검증 블록을 읽는다,건별 한도·교환 재고·기관 상태·BLF·KYT·이상거래 룰이 값과 함께 보인다,I-B-21,,
108,B 나목 교환,B1 정상 완주,관리자,ADM-02 ①,네 조건을 하나씩 깨뜨려 [승인] 상태를 본다: 행 종결 / 다른 관리자 처리 중 / 재고 < 받는 수량 / 기관 02 외,네 경우 모두 비활성. 기관 상태는 클릭 시 커스터디를 조회한다,U-ADM02-28,,
109,B 나목 교환,B1 정상 완주,관리자 2명,ADM-02 ①,내가 기안한 행을 같은 계정으로 승인·보류·거절해 본다,본인 기안 자기승인이 행 단위로 차단된다,U-ADM02-29,,
110,B 나목 교환,B1 정상 완주,관리자,ADM-02,창 폭을 2000px 이상으로 늘려 스크롤한다,ADM-02 목업 패널이 따라오지 않고 제자리에 고정된다,U-ADM02-07,,
111,B 나목 교환,B1 정상 완주,관리자,ADM-02 ①,활성 상태에서 [승인]을 누른다,확인 다이얼로그가 먼저 뜬다,U-ADM02-31,,
112,B 나목 교환,B1 정상 완주,관리자,ADM-02 ①,건 #1에 [승인],① 행이 제거되고 ② 집행에 입고·출고 2행이 생긴다,U-ADM02-02 · I-B-01,,
