TC ID,구분,대상,검증 내용,우선,실행 STEP,상태,비고
U-ONB01-13,단위,ONB-01 비밀번호 설정,서버 재검증 : 서버는 규칙을 다시 검증하지 않고 저장한다(설계대로). 저장은 단방향 해시+salt,P1,032,,
U-ONB02-01,단위,ONB-02 2FA 앱 연결,2FA QR / 설정 키 : 두 방법 모두 같은 계정으로 등록된다,P0,033,,
U-ONB02-02,단위,ONB-02 2FA 앱 연결,6자리 코드 입력 : 별도 버튼 없이 자동 검증된다,P0,036,,
U-ONB02-03,단위,ONB-02 2FA 앱 연결,6자리 코드 입력 : 경고 표시 후 재입력 가능,P0,034,,
U-ONB02-04,단위,ONB-02 2FA 앱 연결,6자리 코드 입력 : 붙여넣기 분배 기능은 없다,P2,034,,
U-ONB02-05,단위,ONB-02 2FA 앱 연결,6자리 코드 입력 : ONB-03으로 이동,P0,036,,
U-ONB03-01,단위,ONB-03 복구 코드,복구 코드·보관 경고 : 단일 복구 코드와 보관 경고가 보인다,P1,037,,
U-ONB03-02,단위,ONB-03 복구 코드,[복사하기] : 클립보드에 복구 코드가 담긴다. [다운로드] 버튼은 없다,P1,037,,
U-ONB03-03,단위,ONB-03 복구 코드,[확인] : 활성화 완료. AUTH-01로 이동하고 로그인 가능 상태가 된다,P0,038,,
U-ONB04-01,단위,ONB-04 초대 링크 오류,"오류 안내 : 만료 배너 ""관리자에게 재발송을 요청하세요""",P0,048,,
U-ONB04-02,단위,ONB-04 초대 링크 오류,오류 안내 : 1회용이므로 ONB-04가 열린다,P0,046,,
U-AUTH01-01,단위,AUTH-01 로그인,이메일·비밀번호 : 인라인 경고. 서버 요청 없음,P1,039,,
U-AUTH01-02,단위,AUTH-01 로그인,[로그인]·실패 칩 : 실패 칩과 남은 횟수가 보인다,P0,039,,
U-AUTH01-03,단위,AUTH-01 로그인,[로그인] : AUTH-02로 이동(로그인 2단계),P0,041,,
U-AUTH01-04,단위,AUTH-01 로그인,계정 잠금 배너 : 잠금 배너가 보이고 로그인이 막힌다. 거래 칩과 무관,P0,061,,
U-AUTH01-05,단위,AUTH-01 로그인,문의 이메일 링크 : 문의 이메일 링크가 동작한다,P2,062,,
U-AUTH01-06,단위,AUTH-01 로그인,실패 카운터 : 세 종류가 합산되어 5회째에 잠금된다,P0,061,,
U-AUTH01-07,단위,AUTH-01 로그인,푸터 : 저작권·개인정보처리방침·이용약관 2링크만. 공지사항 없음,P2,040,,
U-AUTH02-01,단위,AUTH-02 2차 인증,6자리 코드 : 자동 검증되어 세션이 생성되고 DASH-01로 이동,P0,042,,
U-AUTH02-02,단위,AUTH-02 2차 인증,6자리 코드 : 실패 처리되고 카운터에 합산된다,P0,042,,
U-AUTH02-03,단위,AUTH-02 2차 인증,[복구 코드로 인증] : AUTH-03으로 이동. 외곽선 버튼 스타일,P1,055,,
U-AUTH03-01,단위,AUTH-03 복구 코드 인증,복구 코드 입력 : 클릭 시 검증한다(자동 검증 아님),P0,056,,
U-AUTH03-02,단위,AUTH-03 복구 코드 인증,[인증] : 세션이 생성되고 DASH-01로 이동. 2FA는 초기화되지 않는다,P0,056,,
U-AUTH03-03,단위,AUTH-03 복구 코드 인증,[인증] : 실패 처리되고 카운터에 합산된다,P0,056,,
U-AUTH03-04,단위,AUTH-03 복구 코드 인증,'‹ 이전으로' : AUTH-02로 돌아간다,P2,059,,
U-DASH01-01,단위,DASH-01 대시보드,거래 목록 행 : 해당 거래의 상세 화면으로 이동,P0,135,,
U-DASH01-02,단위,DASH-01 대시보드,상태 칩 : 대기(파랑)·진행(노랑)·완료(초록)·종결(회색) 4종만. 빨간 칩 없음,P1,121,,
U-DASH01-03,단위,DASH-01 대시보드,"지갑 잔고 표 : ETH 4자리·USDC/USDT 2자리, 절사",P1,045,,
U-DASH01-04,단위,DASH-01 대시보드,지갑 주소 : 수탁 지갑 주소가 보인다. 회계 계정명은 보이지 않는다,P1,045,,
U-DASH01-05,단위,DASH-01 대시보드,KYC 예외 배너 : KYC 예외 요약 배너가 보인다,P0,080,,
U-DASH01-06,단위,DASH-01 대시보드,2FA 재설정 권고 배너 : 2차 인증 재설정 권고 배너가 보인다,P1,057,,
U-DASH01-07,단위,DASH-01 대시보드,'비밀번호 수정' 카드 : DASH-02로 이동(독립 페이지),P1,065,,
U-DASH01-08,단위,DASH-01 대시보드,'2차 인증 재설정' 카드 : DASH-03으로 이동,P1,065,,
U-DASH01-09,단위,DASH-01 대시보드,[활동 로그 다운로드(CSV)] : 전체 기간이 1파일로 동기 생성되어 내려온다. 다운로드 이력 화면은 없다,P1,267,,
U-DASH01-10,단위,DASH-01 대시보드,갱신 방식 : 자동 갱신·폴링·토스트가 없다. 새로고침해야 반영된다,P1,089,,
U-DASH01-11,단위,DASH-01 대시보드,기관 배지 : 로그아웃 메뉴가 열린다,P2,044,,
U-DASH02-01,단위,DASH-02 비밀번호 수정,기존 비밀번호 : 서버가 불일치를 알리고 저장하지 않는다,P0,066,,
U-DASH02-02,단위,DASH-02 비밀번호 수정,[다음] : [다음] 클릭 시 클라이언트가 일괄 검증해 필드마다 경고,P0,066,,
U-DASH02-03,단위,DASH-02 비밀번호 수정,[취소] : 항상 활성이며 DASH-01로 돌아간다,P2,066,,
U-DASH02-04,단위,DASH-02 비밀번호 수정,[다음] : 저장되고 완료 배너가 고정으로 남는다(자동 닫힘 없음),P0,067,,
U-DASH03-01,단위,DASH-03 2차 인증 재설정,[재설정 메일 발송] : 발송 결과 배너가 보이고 재설정 메일이 도착한다,P0,072,,
U-DASH03-02,단위,DASH-03 2차 인증 재설정,'‹ 이전으로' : DASH-01로 돌아간다,P2,072,,
U-ADM03-01,단위,ADM-03 설정,기관명·이메일·customerNo·수탁 지갑 주소 : 필드별 경고가 보이고 발송되지 않는다,P0,010,,
U-ADM03-02,단위,ADM-03 설정,수탁 지갑 주소 : 형식 검증 경고. Ethereum 단일 체인 기준,P1,011,,
U-ADM03-03,단위,ADM-03 설정,[초대 발송] : 기관·가입자가 생성되고 기관 상태 초기값이 활성. 초대 메일 발송,P0,016 · 018,,
U-ADM03-04,단위,ADM-03 설정,[초대 발송] : 기관당 가입자 1명 원칙에 따라 차단되거나 안내된다,P1,017,,
U-ADM03-05,단위,ADM-03 설정,[초대 재발송] : 새 초대 메일이 발송된다,P0,049,,
U-ADM03-06,단위,ADM-03 설정,KYC 상태 칩 : 커스터디 조회값(코드+조회 시각)이 표시 전용으로 보인다. [상태 변경] 버튼은 없다,P0,019,,
U-ADM03-07,단위,ADM-03 설정,"KYC 상태 칩 : 회색 칩 ""05 거래해지""",P1,083,,
U-ADMAUTH-01,단위,어드민 로그인,어드민 인증 : 어드민 홈(ADM-02) 진입,P0,003,,
U-EXC01-01,단위,EXC-01 교환하기,보내는 자산 ▾ : 목록이 펼쳐지고 ETH·USDC·USDT 3종이 보인다,P0,090,,
U-EXC01-02,단위,EXC-01 교환하기,받는 자산 ▾ : 보내는 자산이 목록에서 제외된다,P0,092,,
U-EXC01-03,단위,EXC-01 교환하기,드롭다운 공통 : 목록이 닫힌다. 선택 시 칩이 갱신되고 닫힌다,P1,090,,
U-EXC01-04,단위,EXC-01 교환하기,보내는 수량 : ETH 4자리·스테이블 2자리로 절사되어 처리된다,P1,093,,
U-EXC01-05,단위,EXC-01 교환하기,표시 블록 : 교환 가능 풀·참고 비율·예상 받는 수량·스프레드·예상 가스비가 자산 선택 시 1회 조회되어 보인다,P0,094,,
U-EXC01-06,단위,EXC-01 교환하기,표시 블록 : 고객 화면에 원화 환산액이 보이지 않는다,P1,096,,
U-EXC01-07,단위,EXC-01 교환하기,표시 블록 : 회계 계정명·시세 소스명이 보이지 않는다,P1,096,,
U-EXC01-08,단위,EXC-01 교환하기,[거래 요청] : 비활성 또는 경고. 요청 시점 KRW 시세로 환산·원 단위 절사,P0,097,,
U-EXC01-09,단위,EXC-01 교환하기,[거래 요청] : 정상 통과한다,P0,098,,
U-EXC01-10,단위,EXC-01 교환하기,[거래 요청] : 경고가 보이고 요청이 생성되지 않는다,P0,097,,
U-EXC01-11,단위,EXC-01 교환하기,KYC 예외 배너 : 배너가 보이고 [거래 요청]이 비활성. 조회는 가능,P0,081,,
U-EXC01-12,단위,EXC-01 교환하기,[거래 요청] : 상단 배너 + 버튼 비활성. 사유는 일반화 문구,P0,171,,
U-EXC01-13,단위,EXC-01 교환하기,[거래 요청] : 버튼 비활성. 요청 레코드를 만들지 않는다,P0,148,,
U-EXC01-14,단위,EXC-01 교환하기,[거래 요청] : EXC-02로 이동하고 상태가 요청됨이 된다,P0,099,,
U-EXC02-01,단위,EXC-02 비율 확인·수락,"견적 산정 : ""불러오는 중…"" 후 확정 비율이 표시된다",P0,100,,
U-EXC02-02,단위,EXC-02 비율 확인·수락,확정 비율 고시 : 확정 비율·받는 수량·스프레드·예상 가스비. 자릿수 규칙 준수,P0,101,,
U-EXC02-03,단위,EXC-02 비율 확인·수락,예상 가스비 : ETH 단일 표기. 받는 자산 환산액을 병기하지 않는다,P1,101,,
U-EXC02-04,단위,EXC-02 비율 확인·수락,받는 수량 행 : '차감 후 받는 수량(예상)' 행이 없다,P1,101,,
U-EXC02-05,단위,EXC-02 비율 확인·수락,수락 기한 카운트다운 : 정책값 120초에서 시작해 감소한다,P0,101 · 124,,
U-EXC02-06,단위,EXC-02 비율 확인·수락,[수락] : 확인 다이얼로그 없이 즉시 확정되고 EXC-03으로 이동,P0,103,,
U-EXC02-07,단위,EXC-02 비율 확인·수락,[거절] : 확인 다이얼로그 없이 EXC-04 「거절 (고객 요청)」,P0,122,,
U-EXC02-08,단위,EXC-02 비율 확인·수락,"[수락] : ""만료됨 — 비율 무효"" 표시되고 [수락] 비활성",P0,127,,
U-EXC02-09,단위,EXC-02 비율 확인·수락,"성격 고지 : ""자체 시세 아님 · DSRV 상대방"" 고지가 보인다",P1,101,,
U-EXC03-01,단위,EXC-03 승인 진행,"거래 상태 스텝바 : 스텝 2 ""DSRV 거래 진행중""",P0,104,,
U-EXC03-02,단위,EXC-03 승인 진행,내부 단계 노출 : 보류 라벨·사유·담당자가 보이지 않고 진행 중만 유지,P0,104 · 132,,
U-EXC03-03,단위,EXC-03 승인 진행,[확인] : DASH-01로 이동,P2,105,,
U-EXC04-01,단위,EXC-04 내역·완료,완료 변형 : 스텝 3 체크·완료 일시·발생 가스비·실수령 수량이 보인다,P0,120,,
U-EXC04-02,단위,EXC-04 내역·완료,거절(DSRV 심사) 변형 : 일반화 사유 배너만 보이고 구체 사유가 없다,P0,136,,
U-EXC04-03,단위,EXC-04 내역·완료,만료 변형 : 「만료」로 보인다,P1,128,,
U-EXC04-04,단위,EXC-04 내역·완료,받은 수량 : 스토리보드 예시 정합 확인(EXC-02 확정 수량과 일치),P1,120,,
U-ADM02-01,단위,ADM-02 ① 거래 승인,목록 행 확장 : 확장되고 동시에 1개만 열린다,P1,106,,
U-ADM02-02,단위,ADM-02 ① 거래 승인,[승인] T1 : ① 행 제거·종결. ② 집행에 입고·출고 2행 생성,P0,112,,
U-ADM02-03,단위,ADM-02 ① 거래 승인,[보류] T1 : 사유가 필수라 진행되지 않는다,P0,130,,
U-ADM02-04,단위,ADM-02 ① 거래 승인,[보류] T1 : HOLD로 유지된다. 만료 시한이 없고 승인·거절로만 닫힌다,P0,131,,
U-ADM02-05,단위,ADM-02 ① 거래 승인,[거절] T1 : 종결되고 되돌릴 수 없다,P0,134,,
U-ADM02-06,단위,ADM-02 ① 거래 승인,"에스컬레이션 표시 : 해당 행이 에스컬레이션으로 표시되고 ""③ 1건""이 보인다",P1,141,,
U-ADM02-07,단위,ADM-02 목업,패널 고정 : ADM-02·03 목업 패널은 따라오지 않고 제자리 고정,P2,110,,
U-ADM02-08,단위,ADM-02 ② 집행 대기,행 확장 : 집행 명세가 그대로 펼쳐진다,P0,113,,
U-ADM02-09,단위,ADM-02 ② 집행 대기,[명세 Excel] : 1건 1파일로 내려받고 명세 해시·승인자 ID가 화면과 같은 값,P0,113,,
U-ADM02-10,단위,ADM-02 ② 집행 대기,txhash 입력창 : 입력값이 유지되고 대사 검증 대상이 된다,P0,116,,
U-ADM02-11,단위,ADM-02 ② 집행 대기,[완료] : 발신 지갑·수신 주소·자산·수량 4항목 일치 시에만 [완료]가 활성,P0,116,,
U-ADM02-12,단위,ADM-02 ② 집행 대기,[완료] : 완료가 차단되고 txhash 필드에 경고. 행이 정지된다,P0,114,,
U-ADM02-13,단위,ADM-02 ② 집행 대기,출고 행 : 비활성이며 입고 완료 후에만 활성,P0,113 · 118,,
U-ADM02-14,단위,ADM-02 ② 집행 대기,[완료] : 명세 다운로드 여부는 완료를 막지 않는다,P1,116,,
U-ADM02-15,단위,ADM-02 ③ AML,[검토] : 검토중으로 바뀌고 행이 유지된다,P1,138,,
U-ADM02-16,단위,ADM-02 ③ AML,[STR 검토] : 행 제거·종결(STR 이관),P1,142,,
U-ADM02-17,단위,ADM-02 ③ AML,[무혐의 종결] : 행 제거·종결. 연계 ① 행의 에스컬레이션 표시가 해제된다,P1,138,,
U-ADM02-18,단위,ADM-02 ④ 운영 알림,유형 노출 : N1 시세중단·N2 재고부족·N3 대사불일치·X3 3면대사·T8 계정잠금 5종,P1,147 · 261,,
U-ADM02-19,단위,ADM-02 ④ 운영 알림,[확인]·[조치 완료] : 결과를 선택해 종결한다,P1,115 · 150,,
U-ADM02-20,단위,ADM-02 홈,건수 집계 : 어느 화면에도 건수 집계·KPI 카드가 없다,P2,262,,
U-ADM02-21,단위,ADM-02 데이터 다운로드,CSV 6종 : 6종이 전체 기간 1파일로 동기 생성된다. 어드민 CSV는 원화 표기 유지,P1,265,,
U-ADM03-08,단위,ADM-03 설정,"고정 스프레드 3개 : 저장되고 ""정책값이 저장되었습니다 (vN) — 신규 요청부터 적용""",P0,005 · 125,,
U-ADM03-09,단위,ADM-03 설정,견적 유효시간 : 저장되고 신규 요청부터 적용된다,P0,005,,
U-ADM03-10,단위,ADM-03 설정,건별 한도 : 저장값이 나목·마목 공통으로 적용된다,P0,005,,
U-ADM03-11,단위,ADM-03 설정,취급자산 상태 ▾ × 3 : ETH·USDC·USDT 3종의 상태가 개별 반영된다,P1,004,,
U-ADM03-12,단위,ADM-03 설정,나목 교환 자산풀 : 교환 가능 수량이 표시 전용으로 보인다,P1,022,,
U-BRK01-01,단위,BRK-01 교환 게시판,컬럼 헤더·상태 칩 : 컬럼·칩 규격이 notation과 일치,P1,176,,
U-BRK01-02,단위,BRK-01 교환 게시판,타사 게시·게재중 행 : BRK-03 신청하기로 이동,P0,188,,
U-BRK01-03,단위,BRK-01 교환 게시판,타사 게시·협의중 행 : 클릭은 되고 상세가 열리되 [신청]이 비활성,P0,216,,
U-BRK01-04,단위,BRK-01 교환 게시판,"내 게시 행 : ""내 게시"" 표시가 있고 BRK-06으로 이동",P0,195,,
U-BRK01-05,단위,BRK-01 교환 게시판,내 신청 중인 게시 행 : BRK-07로 이동,P0,195,,
U-BRK01-06,단위,BRK-01 교환 게시판,목록 필터 : 해당 게시가 목록에서 제외된다,P0,221,,
U-BRK01-07,단위,BRK-01 교환 게시판,[+ 거래의향 등록] : BRK-02로 이동,P0,177,,
U-BRK02-01,단위,BRK-02 거래의향 등록,보내는/받는 자산 : 받는 자산 목록에서 해당 자산이 제외된다,P0,177,,
U-BRK02-02,단위,BRK-02 거래의향 등록,보유·처분 가능 잔고 : 보유와 처분 가능 잔고가 구분되어 보인다,P0,178,,
U-BRK02-03,단위,BRK-02 거래의향 등록,환산 비율·현 시세·편차 : ETH 페어 비율은 방향 무관 {스테이블}/ETH 2자리,P1,179,,
U-BRK02-04,단위,BRK-02 거래의향 등록,편차 경고 : 등록이 거부된다. 경고만 띄우고 통과시키지 않는다,P1,180,,
U-BRK02-05,단위,BRK-02 거래의향 등록,게시 유효기간 : 정책값 30일이 보인다,P1,178,,
U-BRK02-06,단위,BRK-02 거래의향 등록,[게시] : 비활성 또는 인라인 경고,P0,181,,
U-BRK02-07,단위,BRK-02 거래의향 등록,[게시] : 비활성. 게시를 만들지 않는다,P0,181,,
U-BRK02-08,단위,BRK-02 거래의향 등록,[게시] : 인라인 경고 또는 상단 배너 + 버튼 비활성,P0,171,,
U-BRK02-09,단위,BRK-02 거래의향 등록,KYC 예외 배너 : 배너 + [게시] 비활성,P0,081,,
U-BRK02-10,단위,BRK-02 거래의향 등록,[게시] : BRK-06으로 이동. 유효기간 30일 시작·price guard 기준가 스냅숏,P0,184,,
U-BRK02-11,단위,BRK-02 거래의향 등록,[취소] : 항상 활성이며 BRK-01로 돌아간다,P2,182,,
U-BRK03-01,단위,BRK-03 신청하기,게시 조건 : 신청자 기준 수량으로 보이고 게시자 표기가 전혀 없다,P0,189,,
U-BRK03-02,단위,BRK-03 신청하기,"상대 행 : ""거래 상대방""으로 표기된다",P1,189,,
U-BRK03-03,단위,BRK-03 신청하기,신청 조건·내 수수료 : 거래액 1%가 신청자 기준으로 계산되어 보인다,P0,189,,
U-BRK03-04,단위,BRK-03 신청하기,신청 가능 게이트 : 잔고·한도 표시와 경고가 보이고 [신청] 비활성,P0,185,,
U-BRK03-05,단위,BRK-03 신청하기,신청 가능 게이트 : [신청] 비활성,P0,185,,
U-BRK03-06,단위,BRK-03 신청하기,[이 조건으로 신청] : 확인 다이얼로그 후 신청 접수. BRK-07로 이동,P0,191,,
U-BRK03-07,단위,BRK-03 신청하기,"고지 문구 : 단독 실행 결과 고지와 ""DSRV 비참여·기록만"" 고지가 보인다",P1,190 · 216,,
U-BRK04-01,단위,BRK-04 받은 신청·수락,받은 신청 정보 : 신청자·시점·유효기한(2영업일)이 보인다,P0,194,,
U-BRK04-02,단위,BRK-04 받은 신청·수락,내 중개 수수료 : 게시자 기준 1%가 보인다,P0,194,,
U-BRK04-03,단위,BRK-04 받은 신청·수락,[수락] : 확인 다이얼로그 후 확정. BRK-05로 이동,P0,196,,
U-BRK04-04,단위,BRK-04 받은 신청·수락,[거절] : 사유 없이 거절되고 게재중으로 복귀,P0,214,,
U-BRK04-05,단위,BRK-04 받은 신청·수락,[수락] : 비활성이며 처리 불가 안내가 보인다,P0,229,,
U-BRK04-06,단위,BRK-04 받은 신청·수락,[취소] 부재 : [취소]가 없고 나가기는 GNB로만 한다,P1,194,,
U-BRK05-01,단위,BRK-05 이전·완료,확정 거래 내역 : 보는 고객 기준 보내는 수량/받는 수량만 보인다,P0,198,,
U-BRK05-02,단위,BRK-05 이전·완료,확정 거래 내역 : 게시자 기준 행·'내 기준' 행이 없다,P1,198,,
U-BRK05-03,단위,BRK-05 이전·완료,정산 스텝바 : 확정 → 예치 → 인도 → 완료 4단계가 진행에 맞게 표시된다,P0,209,,
U-BRK05-04,단위,BRK-05 이전·완료,예치·인도 상태 : 내 예치/상대 예치가 구분되고 완결성이 표시된다,P0,204,,
U-BRK05-05,단위,BRK-05 이전·완료,결과 안내 배너 : 이전 중지 배너와 반환 안내가 보인다,P0,233 · 237 · 241,,
U-BRK06-01,단위,BRK-06 내 게시 상세,상태 행 : 게시 상태 칩과 받은 신청 건수가 보인다,P0,187,,
U-BRK06-02,단위,BRK-06 내 게시 상세,받은 신청 빈 상태 : 빈 상태가 보인다,P1,187,,
U-BRK06-03,단위,BRK-06 내 게시 상세,신청 카드 : 동시 신청 1건만 존재한다,P0,193,,
U-BRK06-04,단위,BRK-06 내 게시 상세,[신청 보기] : BRK-04로 이동,P0,193,,
U-BRK06-05,단위,BRK-06 내 게시 상세,[게시 중단] : 확인 다이얼로그 후 회수된다,P0,220,,
U-BRK06-06,단위,BRK-06 내 게시 상세,"[게시 중단] 라벨 : 버튼은 '게시 중단', 상태명은 '회수'",P1,220,,
U-BRK06-07,단위,BRK-06 내 게시 상세,"[게시 중단] : 비활성이 아니라 아예 보이지 않는다. ""확정된 거래는 회수할 수 없습니다. 이전 진행은 대시보드 거래 목록에서 확인해 주세요"" 안내로 대체된다",P0,223,,
U-BRK06-08,단위,BRK-06 내 게시 상세,상호 마스킹 : 확정 시 신청 카드 상호 마스킹이 해제된다. 이 화면에 이전 진행 링크는 없다(대시보드 거래 목록으로 간다),P0,189 · 197,,
U-BRK07-01,단위,BRK-07 내 신청 상세,진행 스텝바 : 신청 → 협의중 → 확정 → 이전·완료,P0,192,,
U-BRK07-02,단위,BRK-07 내 신청 상세,상태 행 : 신청 시점과 유효기한(2영업일)이 보인다,P0,192,,
U-BRK07-03,단위,BRK-07 내 신청 상세,취소 동선 : 신청 취소 동선이 없다,P1,192,,
U-ADM02-22,단위,ADM-02 ① 거래 승인,[승인] T2 : ① 행 제거. ② 집행에 예치 2행 생성(수수료 포함 수량),P0,200,,
U-ADM02-23,단위,ADM-02 ① 거래 승인,[이전 중지] T2 : 종결되고 되돌릴 수 없다. 자산 이동·수수료 없음,P0,235,,
U-ADM02-24,단위,ADM-02 ② 집행 대기,[이전 중지] 예치·인도 행 : 남은 예치·인도 행 제거 후 반환 행이 예치 건수만큼 생성된다,P0,238,,
U-ADM02-25,단위,ADM-02 ② 집행 대기,인도 자동 생성 : 별도 승인 클릭 없이 인도 2행이 자동 생성된다,P0,205,,
U-ADM02-26,단위,ADM-02 ② 집행 대기,인도 수량 : 수수료·가스 차감 후 수량으로 산정되어 있다,P0,206,,
U-ADM02-27,단위,ADM-02 ② 집행 대기,수수료 스윕 행 : 자산별 1행으로 묶여 생성된다,P1,252,,
U-ADM03-13,단위,ADM-03 설정,마목 중개 수수료율 : 저장되고 신규 게시·신청부터 적용,P0,005,,
U-ADM03-14,단위,ADM-03 설정,마목 유효기간 2개 : 각각 저장되어 PB-05·PB-07에 반영,P0,005,,
U-ADM03-15,단위,ADM-03 설정,price guard 임계 : 저장되고 PB-08 판정에 반영,P0,005,,
U-DASH02-05,단위,DASH-02 비밀번호 수정,[다음] : 재사용 금지(직전 1회)로 거부된다,P1,068,,
U-DASH03-03,단위,DASH-03 2차 인증 재설정,[재설정 메일 발송] : cooldownUntil 까지 버튼이 비활성이고 남은 시간이 보인다,P1,073,,
U-AUTH01-08,단위,AUTH-01 로그인,"세션 만료 배너 : AUTH-01로 이동하고 ""세션이 만료되었습니다. 다시 로그인해 주세요"" 배너가 보인다",P0,075,,
U-EXC02-10,단위,EXC-02 비율 확인·수락,[거절] : 오류가 아니라 현재 상태를 그대로 돌려준다,P1,123,,
U-AUTH02-04,단위,AUTH-02 2차 인증,6자리 코드 연동 : 계정당 1세션 원칙에 따라 다른 기기의 기존 세션이 즉시 끊긴다. 기존 기기는 다음 요청 때 AUTH-01로 온다,P0,043,,
U-AUTH03-05,단위,AUTH-03 복구 코드 인증,[인증] 연동 : 코드가 즉시 폐기되고 세션이 생긴다. 계정당 1세션이라 다른 기기 세션이 끊긴다. 인증 앱 등록은 유지된다,P0,058,,
U-ADM02-28,단위,ADM-02 ① 거래 승인,[승인] T1 클릭 가능 : 네 경우 모두 [승인]이 비활성이다. 기관 상태는 클릭 시 커스터디를 조회한다,P0,108,,
U-ADM02-31,단위,ADM-02 ① 거래 승인,[승인] T1 확인 사항 : 확인 다이얼로그가 뜬다(집행 개시는 구속력 있는 행위),P0,111,,
U-ADM02-29,단위,ADM-02 공통,자기승인 차단 : 본인 기안 자기승인이 행 단위로 차단된다,P0,109,,
U-ADM02-30,단위,ADM-02 ①②,"기관 비활성 시 대기 건 처리 : ① 행은 전부 제거·종결(거절). ② 미집행 행은 제거되고, 마목이면 반환 행이 생긴다",P0,248,,
U-EXC01-15,단위,EXC-01 교환하기,예상 받는 수량 계산 : ETH 페어는 방향에 따라 곱하기와 나누기가 갈린다. USDC→ETH 에서 0.0003 같은 값이 4자리로 뭉개지지 않는다,P0,095,,
U-EXC02-11,단위,EXC-02 비율 확인·수락,확정 비율·받는 수량 계산 : 계산식이 방향에 맞고 자릿수 규칙(ETH 4 · 스테이블 2)이 지켜진다,P0,102,,
U-BRK05-06,단위,BRK-05 이전·완료,내 중개 수수료 : 보는 사람 기준 자기 부담분만 보인다. 요율 1%와 부담 자산이 관점에 따라 다르다,P0,199,,
U-BRK07-04,단위,BRK-07 내 신청 상세,내 중개 수수료 : 신청자 기준 자기 부담분 1%가 보인다,P0,199,,
U-BRK03-08,단위,BRK-03 신청하기,KYC 예외 배너 : 배너가 보이고 [이 조건으로 신청]이 비활성,P0,186,,
U-DASH02-06,단위,DASH-02 비밀번호 수정,[다음] 액션 : 타 기기 세션이 전부 로그아웃되고(현재 세션 유지) 통합 실패 카운터가 0으로 초기화되며 변경 이력이 감사기록에 남는다,P1,071,,
U-ADM03-16,단위,ADM-03 설정,고정 스프레드 범위 : 허용 범위 0.01~5% 밖이라 거부된다,P1,006,,
U-ADM03-17,단위,ADM-03 설정,견적 유효시간 범위 : 허용 범위 30~600초 밖이라 거부된다,P1,006,,
U-ADM03-18,단위,ADM-03 설정,중개 수수료율 범위 : 허용 범위 0~5% 밖이라 거부된다,P1,006,,
U-ADM03-19,단위,ADM-03 설정,게시 유효기간 범위 : 허용 범위 1~90일 밖이라 거부된다,P1,006,,
U-ADM03-20,단위,ADM-03 설정,신청 유효기간 범위 : 허용 범위 1~10영업일 밖이라 거부된다,P1,006,,
U-ADM03-21,단위,ADM-03 설정,price guard 임계 범위 : 허용 범위 0.1~10% 밖이라 거부된다,P1,006,,
U-ADM03-22,단위,ADM-03 설정,건별 한도 입력 검증 : 거부된다. 허용 범위는 [확인필요],P1,006,,
