TC ID,단위,시나리오,케이스 ID,관련 화면,참여 역할,사전조건,절차,기대결과 (고객),기대결과 (어드민·시스템),통지,우선,결과,비고
I-B-14,② 교환하기(나목),기관 비활성 확인 시 일괄 거절,AC-08,ADM-02 ①② · EXC-04,시스템 · 관리자,해당 기관의 ①② 대기 건 다수,① [승인] 클릭 순간 관문 조회에서 02 외 값 확인 준비할 때 한 건은 서명·전송까지 마치고 txhash 미입력 상태로 둔다,EXC-04 「거절 (DSRV 심사)」와 일반화 사유만 보인다,"해당 기관 ① 행 전부 제거·종결, ② 미집행 행 제거. 집행 중인 콜드 이전은 대사 완료 후 정지 집행 중인 콜드 이전은 즉시 제거하지 않고 대사 완료 후 정지한다",이메일 ⑤,P0,,
I-B-15,② 교환하기(나목),정책값 변경의 소급 없음,EX-03,ADM-03 · EXC-02,관리자 · 고객,비율 제시 상태의 진행 건 보유,ADM-03에서 스프레드 변경 후 저장,진행 중 건의 확정 비율이 요청 시점 값 그대로 유지된다,"저장 배너 ""(vN) — 신규 요청부터 적용"". 신규 요청에만 새 값 반영",없음,P0,,
I-B-16,② 교환하기(나목),건별 한도 경계,EX-01,EXC-01,고객 · 시스템,시세 정상,한도 상당액 바로 아래 / 바로 위 수량으로 각각 요청,아래는 통과하고 위는 차단된다,요청 시점 KRW 시세로 환산하고 원 단위 절사,없음,P0,,
I-B-17,② 교환하기(나목),이상거래 룰 적중,AM-01→AM-04,ADM-02 ①③,시스템 · 관리자,자전·통정·위장게시 패턴 유도,룰 적중 → ③ [검토] → [무혐의 종결] + 사유,고객 화면에 아무 반영이 없다,③ T5 행 생성 + 연계 ① 행 에스컬레이션. 종결 시 에스컬레이션 표시 해제,없음,P0,,
I-B-18,② 교환하기(나목),지갑 3면 대사 불일치,OP-04,ADM-02 ④,시스템 · 관리자,대사 배치 실행,내부 장부·온체인·커스터디 콜드 기록 중 하나를 어긋나게 만듦 → ④ [확인·원인 규명] → [조치 완료 · 일치 확인] 이어서 그 지갑을 거치는 신규 이전을 시도한다,반영 없음,④ 알림 X3 생성. 대상은 고객 수탁·운영·나목 재고·에스크로 4묶음. 최신 배치가 일치일 때만 종결이 활성 해당 지갑의 신규 이전이 정지된다(정지 범위는 [확인필요]),없음,P1,,
I-C-01,③ 교환게시판(마목),마목 중개 정상 완주,PB-01·03 / ST-01·03·05·07·08,BRK-01~07 · ADM-02 ①② · DASH-01,게시자 · 신청자 · 관리자 · 커스터디,기관 2곳 활성 · 잔고 충분,A기관 BRK-02 게시 → B기관 BRK-03 신청 → A기관 BRK-04 [수락] → ADM-02 ① T2 [승인] → ② 예치 2건 완료 → 인도 2행 자동 생성 → 인도 2건 완료,"게재중 → 협의중 → 확정 → 완료. BRK-05 스텝 4 완료 배너, 양측 DASH-01 잔고 반영",① T2 행 생성 후 승인으로 제거. ② 예치 2행(수수료 포함) → 인도 2행 자동(수수료·가스 차감). 중개수수료가 인도 집행 시점에 구분회계로 기록된다,이메일 ①(게시자) → ②(양측) → ③(양측),P0,,
I-C-02,③ 교환게시판(마목),게시 게이트 실패,PB-02,BRK-02,시스템 · 게시자,처분 가능분 부족 / 시세 중단 / 기관 비활성 각각,BRK-02에서 [게시] 시도,인라인 경고 또는 상단 배너와 함께 버튼이 비활성,"게시가 생성되지 않는다. 시세 중단이면 ④ 알림 N1, 그 외는 행 없음",없음,P0,,
I-C-03,③ 교환게시판(마목),게시자 거절 후 재신청,PB-04,BRK-04 · BRK-06 · BRK-07 · BRK-01,게시자 · 신청자,협의중 상태,A기관 BRK-04 [거절] → C기관이 같은 게시에 신청,게시자는 게재중으로 복귀하고 신청자는 거절됨. BRK-01에 재노출되어 다른 기관이 신청할 수 있다,어드민 행 없음,[확인필요],P0,,
I-C-04,③ 교환게시판(마목),신청 유효기한 만료,PB-05,BRK-06 · BRK-07 · BRK-01,시스템,협의중 상태,신청 시점 + 2영업일(KST 평일) 경과,"게시자는 게재중 복귀·카드 제거, 신청자는 만료로 종결",신청 종결 후 게시 재노출,[확인필요],P0,,
I-C-05,③ 교환게시판(마목),게시 회수,PB-06,BRK-06 · BRK-07 · BRK-01,게시자,협의중 상태(대기 신청 1건),BRK-06 [게시 중단] → 확인 다이얼로그 승인,"게시자는 회수, 신청자는 종결 사유 ""게시 회수"". BRK-01에서 즉시 제외",대기 신청이 자동 종결된다. 자산 이동·수수료 없음,이메일 ④(신청자),P0,,
I-C-06,③ 교환게시판(마목),게시 유효기간 만료,PB-07,BRK-06 · BRK-01,시스템,협의중 게시 존재,게시 30일 경과,"게시자는 만료, 신청자는 종결",협의중이던 신청도 함께 종결된다,[확인필요],P0,,
I-C-07,③ 교환게시판(마목),price guard 자동 중지,PB-08,BRK-06 · BRK-04 · BRK-01,시스템,협의중 게시 존재,기준가 대비 ±2.0% 이탈 발생,"게시자는 중지, 신청자는 종결. BRK-04 [수락] 비활성. BRK-01 제외. 재개는 재게시로만",대기 신청 자동 종결. 시세 중단 중에는 판정도 멈춘다. 어드민 알림은 없다,양측 이메일 [확인필요],P0,,
I-C-08,③ 교환게시판(마목),동시 신청 1건 제한,PB-03,BRK-01 · BRK-03,신청자,협의중 게시 존재,C기관이 같은 게시에 신청 시도,행은 클릭되고 상세가 열리되 [신청]이 비활성,추가 신청이 차단된다,없음,P0,,
I-C-09,③ 교환게시판(마목),관리자 보류 후 승인,ST-02→ST-03,BRK-05 · ADM-02 ①,관리자 · 양측 고객,T2 확인 대기 행,① [보류] + 사유 → 보완 후 [승인],"BRK-05에 ""이전 보류"" 배너(일반화 사유)가 보였다가 예치 진행으로 넘어간다",HOLD 유지·만료 시한 없음. 승인 시 예치 2행 생성,[확인필요],P0,,
I-C-10,③ 교환게시판(마목),이전 중지 · 예치 전,ST-04,BRK-05 · ADM-02 ①,관리자,T2 확인 대기 행,① [이전 중지] + 사유 별도 건으로 ① [보류] 후 [이전 중지]도 밟는다,양측 이전 중지. BRK-05 이전 중지 배너,종결·되돌릴 수 없음. 자산 이동 없고 수수료 미부과 보류에서 이전 중지로 가는 경로도 종결된다,[확인필요],P0,,
I-C-11,③ 교환게시판(마목),이전 중지 · 예치 후,ST-06,BRK-05 · ADM-02 ②,관리자,예치 1건 또는 2건 완료,예치를 1건만 완료시킨 상태에서 [이전 중지] + 사유. 이어서 별도 건으로 2건 완료 상태에서도 같은 처리,이전 중지 배너와 반환 안내가 보인다,남은 예치·인도 행 제거 후 예치된 건수만큼 반환 행 생성 → 콜드 집행 → 완료. 수수료 미부과 반환 행은 예치된 건수만큼(1건 또는 2건) 생긴다,[확인필요],P0,,
I-C-12,③ 교환게시판(마목),수수료 계산 정합,ST-03·07·08,BRK-03 · BRK-04 · ADM-02 ②,시스템,확정 건 존재,예치 명세 · 인도 명세 · 에스크로 잔여를 대조,BRK-03·BRK-04·BRK-07의 내 수수료 표시가 실제 산정과 일치한다,"예치 = 거래 + 수수료 1%(각자), 인도 = 거래 − 가스, 에스크로 잔여 = 수수료 + 가스 차감분",없음,P0,,
I-C-13,③ 교환게시판(마목),양건 예치 완결성,ST-05→ST-07,BRK-05 · ADM-02 ②,관리자,예치 2행 생성,예치 1건만 [완료] 처리하고 대기,BRK-05에 내 예치 완료 / 상대 예치 대기로 구분되어 보인다,인도 행이 자동 생성되지 않는다. 양건 완료 시에만 생성,없음,P0,,
I-C-14,③ 교환게시판(마목),예치 대사 불일치,ST-10·OP-03,ADM-02 ②④,관리자 · 시스템,예치 행 존재,명세와 다른 txhash로 [완료] 시도,상태 변화 없음,완료 차단·행 정지. 인도 자동 생성도 정지. ④ 알림 N3,없음,P0,,
I-C-15,③ 교환게시판(마목),수수료 스윕,ST-09,ADM-02 ②,시스템 · 관리자,완료 거래 다수 · 에스크로 잔여 존재,정책 주기 배치 실행 → 스윕 행 [완료],고객 화면과 무관하다,에스크로 잔여가 운영 지갑으로 이전되고 자산별 1행으로 묶인다,없음,P1,,
I-C-16,③ 교환게시판(마목),기관 비활성 시 예치 완료 건,AC-08,BRK-05 · ADM-02 ②,시스템,예치 2건 완료 상태,해당 기관이 02 외 값으로 확인됨,BRK-05 이전 중지 배너,반환 행이 생성된다(ST-06과 동일 처리),이메일 ⑤,P0,,
I-C-17,③ 교환게시판(마목),마목 한도 양측 검증,PB-01·PB-03,BRK-02 · BRK-03,게시자 · 신청자,시세 정상,게시 시 한도 초과 / 신청 시 한도 초과를 각각 유도,두 시점 모두 차단된다,"게시와 신청에서 각각 1,500,000원 상당 환산으로 판정",없음,P0,,
I-C-18,③ 교환게시판(마목),확정 전후 상호 마스킹,ST-01,BRK-03 · BRK-04 · BRK-06,양측 고객,협의중 → 확정,확정 전후로 상대 기관 정보를 확인,확정 전에는 상대 기관이 가려지고 확정 순간 해제된다,확정 시 구속력이 발생하고 ① T2 행이 생성된다,이메일 ②(양측),P0,,
I-X-01,교차,갱신 방식 확인,2026-09-02(11),전 화면,시스템,두 브라우저에서 같은 건을 열어둠,한쪽에서 상태를 바꾸고 다른 쪽을 관찰,자동 갱신·폴링·토스트가 없다. 진입·새로고침 시에만 조회된다,서버 푸시 없음,없음,P1,,
I-X-02,교차,배너 동작 확인,2026-09-02(11),전 화면,고객,완료·실패 상황 각각,완료 배너와 실패 배너를 확인,완료 배너는 닫기·자동 닫힘이 없는 고정 배너. 실패 배너는 1종이며 최신 값 재조회를 제공한다,경쟁 전용 문구는 없다,없음,P1,,
I-X-03,교차,멱등성,#995,ADM-02 ②,관리자,② 행 존재,[완료]를 연타하거나 같은 요청을 재전송,해당 없음,이중 처리되지 않고 1회만 반영된다,없음,P0,,
I-X-04,교차,행 잠금,#995,ADM-02 ①②,관리자 2명,같은 행을 두 관리자가 동시에 연 상태,두 관리자가 동시에 처리 버튼 클릭,해당 없음,선행 처리만 반영되고 후행은 차단된다,없음,P0,,
I-X-05,교차,권한 분리,#987,ADM-02 · 고객 콘솔,고객 · 관리자,고객 세션 보유,고객 세션으로 어드민 API 직접 호출,해당 없음,권한 오류로 차단된다,없음,P0,,
I-X-06,교차,CSV 정합,2026-09-04(16)③,ADM-02 · DASH-01,관리자 · 고객,거래 다수 완료,어드민 CSV 6종과 고객 활동 로그 CSV를 화면 값과 대조,고객 CSV에는 원화 환산이 없다,어드민 CSV는 원화 표기를 유지한다. 원장은 수탁·운영·재고·에스크로 4분할,없음,P1,,
I-A-14,① 가입 및 로그인,비밀번호 변경 시 타 기기 세션 종료,2026-09-10 결정 B-3,DASH-02 · AUTH-01,가입자,같은 계정으로 두 브라우저에 로그인,한쪽에서 DASH-02로 비밀번호 변경 → 다른 브라우저를 새로고침,다른 브라우저의 세션이 끊겨 AUTH-01로 이동한다,member_session.revoke_reason = PASSWORD_CHANGED,없음,P0,,
I-A-15,① 가입 및 로그인,유휴 세션 만료,2026-09-10 결정 B-6,전 화면 · AUTH-01,가입자,로그인 상태,아무 조작 없이 15분(idleTimeoutSeconds 900) 경과 후 화면을 조작,AUTH-01로 이동하고 만료 안내 배너가 보인다. 작업 중이던 입력은 복원하지 않는다,세션이 폐기된다,없음,P0,,
I-A-16,① 가입 및 로그인,절대 세션 만료·슬라이딩 없음,2026-09-10 결정 B-6,전 화면 · AUTH-01,가입자 · 개발 지원,로그인 상태,8시간 동안 계속 조작하면서 absoluteExpiresAt 을 관찰. 이어서 강제 경과시킴,계속 써도 만료 시각이 뒤로 밀리지 않는다. 도달하면 AUTH-01로 이동,absolute_expires_at 은 슬라이딩하지 않는다,없음,P0,,
I-C-19,③ 교환게시판(마목),마목 거래에 커스터디 중지 알림,09 §0 (22)③ · states §D,BRK-05 · ADM-02 ②,시스템 · 관리자,예치 2건이 완료된 마목 확정 건,커스터디가 그 건 번호로 중지 알림을 발신,BRK-05에 이전 중지 배너와 반환 안내가 보이고 사유는 나오지 않는다,미집행 ② 행 거절 · 거래 거절 · 예치 완료분 반환 행 생성,이메일 ⑤,P0,,
I-C-20,③ 교환게시판(마목),예치 후 보류와 재개,states §2 ② 집행 대기 표 · ADM-02 항목11,ADM-02 ② · BRK-05,관리자,예치 행이 있는 확정 건,② 예치 행에서 [보류] + 사유 → 시간을 두고 같은 행에서 재개,BRK-05는 진행 표시를 유지한다,미집행 행이 정지되고 사유가 남는다. 만료 시한이 없고 같은 행에서 재개된다,없음,P1,,
I-B-19,② 교환하기(나목),AML STR 이관과 연계 건 거절,AM-03,ADM-02 ①③ · EXC-04,관리자,③ 검토중 행 + 연계된 ① 승인 대기 건,③ [STR 검토] + 사유 → 연계 ① 건을 거절,EXC-04에 일반화 문구만 보이고 STR 관련 표시가 전혀 없다,③ 행 제거·종결(STR 이관). 별도 AML 시스템으로 이관,이메일 ⑤,P1,,
I-A-17,① 가입 및 로그인,요청·수락 관문에서 기관 비활성 확인,AC-07,EXC-01 · BRK-02 · BRK-03 · BRK-04,시스템 · 고객,로그인한 상태에서 기관이 02 활성,"로그인은 유지한 채 기관을 04로 바꾸고, 로그아웃 없이 거래 요청(T2)과 수락(T3)을 시도",두 관문에서 각각 잡혀 차단된다. 로그인 관문만으로는 안 잡힌다,관문마다 커스터디를 다시 조회한다,없음,P1,,
I-B-20,② 교환하기(나목),수락 시점 비율 이탈,EX-07,EXC-02 · EXC-04 · ADM-02 ④,시스템 · 고객,비율 제시 상태,재고는 그대로 두고 시세만 크게 움직인 뒤 [수락],"""비율 변동"" 안내와 함께 만료된다",비율 이탈은 기록만 남고 ④ 알림 행이 생기지 않는다(재고 부족과 다르다),없음,P1,,
I-C-21,③ 교환게시판(마목),마목 확정 건 이상거래 에스컬레이션,AM-01 · ST-01,ADM-02 ①③,시스템 · 관리자,위장게시 룰이 적중하도록 설정된 마목 건,게시·신청·수락으로 확정까지 진행,고객 화면에 반영이 없다,"① T2 행이 확인 대기가 아니라 에스컬레이션으로 생성되고 ""③ 1건"" 표시가 붙는다",없음,P1,,
I-C-22,③ 교환게시판(마목),인도·반환·스윕 대사 불일치,ST-10,ADM-02 ②④,관리자,인도 행 · 반환 행 · 스윕 행을 각각 만든 상태,세 유형에 각각 명세와 다른 txhash로 [완료] 시도,상태 변화 없음,세 유형 모두 완료가 차단되고 행이 정지되며 ④ N3 알림이 생긴다,없음,P1,,
I-B-21,② 교환하기(나목),자동검증 첨부 확인,EX-06 · ST-01,ADM-02 ①,관리자,① 승인 대기 행,행을 펼쳐 확장 패널의 자동검증 블록을 읽는다,해당 없음,건별 한도·교환 재고·기관 상태·BLF·KYT·이상거래 룰 항목이 값과 함께 보인다. 마목은 양측 한도·수수료 포함 잔고·게시 상태·기한이 추가된다,없음,P1,,
I-X-07,교차,예약·기게시 차감이 게이트에 반영,EX-09 · brk-02 처분 가능 정의,EXC-01 · BRK-02,고객 · 관리자,재고와 잔고가 충분한 상태,나목 건을 승인해 ② 예약을 만든 뒤 EXC-01 풀을 본다. 마목 게시를 올린 뒤 BRK-02 처분 가능분을 본다,"풀은 예약분만큼, 처분 가능분은 기게시분만큼 줄어 있다",가용 재고 = 잔고 − 집행 대기 예약. 처분 가능 = 실보유 − 기게시 − 기신청,없음,P1,,
I-X-08,교차,조회 실패 시 게이트,09 §0 (21)③,EXC-01 · BRK-02,시스템 · 고객,온체인 잔고·풀 조회를 실패하게 만든 상태,EXC-01과 BRK-02에 들어간다,"값이 ""—""로 보이고 상단 배너가 뜨며 [거래 요청]·[게시]가 비활성. 추측값을 채우지 않는다",조회 실패를 성공으로 간주하지 않는다,없음,P1,,
I-X-09,교차,구분회계 기록 대조,EX-12 · ST-08,ADM-02 데이터 다운로드,관리자,나목 완료 건과 마목 완료 건이 각각 있는 상태,CSV ④를 받아 화면 값과 대조,해당 없음,나목 스프레드 수익과 마목 중개수수료가 구분회계에 기록돼 있고 금액이 화면과 같다. 마목은 인도 집행 시점 기록,없음,P1,,
